k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd.F_des.1,Bus_Cmd.q_des.1,Bus_Cmd.q_des.2,Bus_Cmd.q_des.3,Bus_Cmd.q_des.4,Bus_Cmd.q_ref.1,Bus_Cmd.q_ref.2,Bus_Cmd.q_ref.3,Bus_Cmd.q_ref.4,Bus_Cmd.Omega_ref.1,Bus_Cmd.Omega_ref.2,Bus_Cmd.Omega_ref.3,Bus_Cmd.tau_ref.1,Bus_Cmd.tau_ref.2,Bus_Cmd.tau_ref.3,Bus_Cmd.q_ext.1,Bus_Cmd.q_ext.2,Bus_Cmd.q_ext.3,Bus_Cmd.q_ext.4,Bus_Cmd.estop.1,Bus_Cmd.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
1152,1.1520000000000001,0.03615477635558223,-0.11058720995425417,-0.014086480508619964,0.56539985107695223,-0.36602824934060452,1.4101702302033816,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1321.3240117868409,1310.0876160000146,1340.1323539638572,1306.6776256705023,0,51.558745211106171,51.033703292592783,52.440924757278751,50.874658810504044
1153,1.153,0.028846189570879144,-0.11063773975750327,-0.019324880784621495,0.17710866192053001,-0.51845460382167918,1.1945776867190929,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1317.6528330636936,1314.0423132131396,1337.7852631770327,1308.8171184396708,0,51.38703402281935,51.21831962549426,52.33060529063976,50.974425370241399
1154,1.1539999999999999,0.038263303459916131,-0.11378941780011201,-0.014284574551511914,0.54167990035312374,-0.80780812903408372,1.441010770873441,10.366527298806727,0.99981520268899449,-0.0096863942628294189,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0069188530448781567,-0.0069188530448781567,0.0027675412179512626,0,0,944,0,1321.1562488967495,1309.6912934113616,1340.303489156659,1307.0689684204553,0,51.550885220466945,51.015201562826235,52.448960522476703,50.892894477857944
1155,1.155,0.037149826032251421,-0.10146680629484658,-0.016922382154589577,0.43333668461184999,-0.39874239302070402,1.3420269975570129,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1342.9434752599716,1307.3440338510859,1325.2946553724166,1324.3692951649189,0,52.573118788383525,50.905715047794992,51.744621230464624,51.701282678552019
1156,1.1559999999999999,0.042017641478188567,-0.098231818666176945,-0.01572793585299348,0.59441639934743862,-0.39562591806447833,1.4151997551981423,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1344.6493636912571,1305.6330028902939,1324.9474773482855,1324.6736529728603,0,52.653388401675734,50.825944622183066,51.728355319982967,51.71553103073461
1157,1.157,0.036542619159685846,-0.096891856038671315,-0.01509875151401649,0.29086403676289985,-0.47496773004969717,1.4627993612912891,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1344.9763905888415,1305.4403794945147,1325.4108738756747,1324.0677829626495,0,52.668776387158211,50.816962204007055,51.750055179569536,51.687153998874535
1158,1.1579999999999999,0.03748479755623077,-0.094536135518899417,-0.015288373461343652,0.27641798156081404,-0.50580306755956672,1.4734366193637272,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1345.5701598198173,1305.2172529972477,1324.6404979602853,1324.4553494806814,0,52.69672301168179,50.806558715461605,51.713968643416898,51.705297974280683
1159,1.159,0.040272447153470725,-0.090810454246125855,-0.018027239296050157,0.34573956454616084,-0.47211587236633534,1.3693135237014964,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1344.9273267057213,1306.4179604338824,1322.0920886594647,1326.4692464447517,0,52.666457158185011,50.862519654636678,51.594655030205693,51.799627468434743
1160,1.1599999999999999,0.039832489975817287,-0.089276343117897144,-0.015928804205910113,0.27103109508042539,-0.53396193455025043,1.4825843641088072,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1346.6025039814574,1304.9457313736486,1322.908910168687,1325.4040530949555,0,52.74532053848786,50.79389599192146,51.632883128589924,51.749721394702263
1161,1.161,0.049321507926272878,-0.08532353368775511,-0.014227642195884987,0.64425961855427816,-0.48394957745207107,1.5778855042820912,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1349.1141771978787,1302.6298584570739,1322.347170824497,1325.6884636580041,0,52.863628452927877,50.68600265487175,51.606584407879467,51.763039263193974
1162,1.1619999999999999,0.042711102993681416,-0.083823919419138276,-0.019498130391040092,0.29544286579611911,-0.54106701405125524,1.3596079011479767,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1345.8188414388362,1306.2371515365389,1319.5365465351049,1328.2864926121258,0,52.708411740890675,50.854077203285904,51.475075030638116,51.884777182455146
1163,1.163,0.04763544735693559,-0.078525053840369313,-0.022106351263181084,0.46758909841502461,-0.4240992054398155,1.2609603338365534,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1345.4916752857901,1307.2423345817724,1316.7474518899551,1330.3951790647855,0,52.693004359621213,50.90093571313411,51.344664932387481,51.983643126585598
1164,1.1639999999999999,0.04799467624430695,-0.079244941625307957,-0.020178948032189475,0.43717221833737235,-0.57446294257616481,1.3661911954932775,10.451979125339518,0.99972231238554599,-0.015221476698731942,-0.017989017916683205,0,1,0,0,0,0,0,0,0,0,0,0.99994829849382405,-0.0013837706089756313,-0.0096863942628294189,0.0027675412179512626,0,0,944,0,1346.7110727473782,1305.5469228294596,1317.7783204436214,1329.805388439451,0,52.750414391516571,50.82189573245136,51.392848556195879,51.955979639925076
1165,1.165,0.048882837629706022,-0.077251801217382426,-0.022109781681824842,0.43365080109086446,-0.59948361866280742,1.2978732768973043,10.565507980590228,0.99978455941912336,-0.012453935480780682,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994542610954473,-0.0055350824359025243,-0.0069188530448781559,-0.0055350824359025243,0,0,944,0,1341.3999062359931,1319.197855231004,1332.2700917631569,1335.9299342247132,0,52.500464376027836,51.459220943111056,52.071587508917005,52.243392384949374
1166,1.1659999999999999,0.051275476299558476,-0.070012489256464361,-0.024609841121060294,0.501256265635454,-0.38522934890191346,1.2039063752837031,10.565507980590228,0.99978455941912336,-0.012453935480780682,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994542610954473,-0.0055350824359025243,-0.0069188530448781559,-0.0055350824359025243,0,0,944,0,1339.3147047905748,1322.6674725717317,1328.0800404384149,1338.7603822125188,0,52.40242025671234,51.621554127399676,51.87508193489429,52.376366359447999
1167,1.167,0.049130385252596803,-0.064195938379505324,-0.017279983657123688,0.36859155976141583,-0.23157201798366756,1.551901188123002,10.565507980590228,0.99978455941912336,-0.012453935480780682,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994542610954473,-0.0055350824359025243,-0.0069188530448781559,-0.0055350824359025243,0,0,944,0,1342.7445962139607,1320.6206026827297,1329.9624126735609,1335.4726617358745,0,52.563705625858169,51.525762994315819,51.963329697519534,52.221908996395612
1168,1.1679999999999999,0.050108281321185166,-0.071927067336377631,-0.020052173290567854,0.38032939852123215,-0.68374854193441381,1.4456042296855709,10.565507980590228,0.99978455941912336,-0.012453935480780682,-0.016605247307707578,0,1,0,0,0,0,0,0,0,0,0,0.99994542610954473,-0.0055350824359025243,-0.0069188530448781559,-0.0055350824359025243,0,0,944,0,1338.9701758363829,1323.0857230582089,1327.4124726463594,1339.353665535496,0,52.386217653781948,51.641124201090889,51.843785273041568,52.404242736978944
